亲爱的，晚饭做什么吃？	红烧鲤鱼和鲜蘑油菜。
你准备离开了吗？	是的，我准备要走了，好棒的一顿晚餐。
欢迎光临，今天想要点什么？	请给我一个披萨。
请问，我现在可以点餐吗？	好的，请问要点哪些餐点呢？
该吃甜点了!你还饿吗?	只要是吃甜点我的肚子总会有地方的.
我饿了.咱们去小吃店吧.	好的,你想尝尝什么特别的吃的吗?
累死我了!我不知道该怎么熬过这一整节课.	今天讲课的教授的确有点枯燥乏味.你需要点东西来提提神.咖啡怎么样?
茱莉亚,你喜欢做饭吗?	我很喜欢,尤其是做得好吃的时候.
你想好今天晚饭吃什么了吗?	还没,我正在考虑弄个冷冻披萨什么的扔进烤箱里烧烤.你呢?
喂！我们等午饭等了一个多小时了。你们是不是忘了我们的订餐了？	对不起，先生。您能再告诉我一遍您的姓名以及您订的东西吗？我在订单上查一下。
在你们国家通常吃什么肉啊？	我们吃鸡肉，猪肉和牛肉居多。在你们国家也吃这些肉，不是吗？
我们烧烤都需要些什么啊？	呃，我买了很多肉。我买了猪排，小牛排，鸡翅和许多热狗香肠，还有汉堡饼。
你想要点什么甜点？	你这儿有什么？
撑死我了.我从来没有一口气吃什么多过.	我也一样.我们一共吃了七斤水饺,这究竟是怎么办到的?
请给我账单，好吗？	好的，先生。
摩根,我可以问你一个问题吗?	当然可以,什么事?
咱们真走运。能坐上最后一张两人桌---咱们根本就没预订！你看见我们后面排的那条长队了吗？	是啊，咱们不用等那么长时间，我真开心。饿死了。
闻起来真香。早餐做什么了？	因为我们起得很晚，所以我决定做顿丰盛的早餐。
不不不,你上个星期帮我搞定了电脑.我要还你这个人情.	不,这次肯定应该我请你…上次都是你买的单!
小姐，请问，我能点些喝的吗？	当然可以，你想点些什么？
你擅长做饭吗?	不太擅长,不过我是个美食家!
亲爱的，买些披萨，薯条，热狗，再多买一些奶酪。	约翰，我们刚说过要吃健康的食物，我们新的健康的生活方式呢？你说的那些都是垃圾食品。
天哪！我已经饿了好几天了，却一点都没减下来。	你在减肥吗？
很高兴来到这里。这真的很美味。	我担心你会觉得开车太远。
服务员，菜单。	给您。
您好，我叫约翰，今晚由我为您服务。我可以为您从吧台拿些开胃菜了吗？	不用了，谢谢。我女儿需要一把高脚椅，你们有吗？
晚上好女士们。我是服务生Josh，为您服务。准备好要点餐了吗？	你有什么要推荐的吗？
大家好，欢迎来到Happy Buddah！想喝点什么饮料？	给我来杯可乐。
你要不要喝一杯咖啡？	不，谢谢。
你吃完了吗？	是的，请给我多加些啤酒好吗？
那么，我要吃比目鱼（鲽鱼）。	好的，其他客人呢？
对不起，我的主菜我已等候了很久了。	是的，先生。请等一下，我就到厨房检查一下。
对不起，我们点得太多了，我们可以带回家吗？	是的，当然。
打扰了，我想试试中餐。	我们提供非常美味的中餐。你喜欢哪种类型？
谢谢你今晚请我来吃饭。	不客气。
大部分东南亚国家人民是以米为主食吗？	我不是专家，不过我的印象是如此。
对不起，请问你要喝点饭前酒吗？	你说什么？
一共多少钱？	我看看，烤鸭是25美元，一盘猪肉是6.5美元，一碗牛肉是7美元，两瓶啤酒是4美元，一共是42.5美元。
您可以点菜了吗？	可以了。我要点德州辣汉堡。
我可以请您点菜了吗，先生？	可以了，我先要一份主厨做的色拉。
请为我们安排一张三人桌，好吗？	抱歉，三人桌被订完了。
我们现在来看看。把土豆切成立方体。	是的，但是先别切。等到它们凉了。大塑料碗在哪里？
这是什么? 我没有点这个.	很抱歉.您能再点一次吗? 我会马上替你下单。
小安，别再跟洁丝抬杠了，帮我点一些新口味。最近已经不流行喝那堤了。	你何不试试美式咖啡？浓缩咖啡加水。
晚上好，你有提前预订吗？	是的，我们已经预定了。名字是安。
先生，你现在准备好点菜吗？	是的，我要一份特价烤牛肉。
请把账单拿来好吗？	是的，当然，我马上就回来.这就是。
你是从日本来的，是吗？	啊，是的。
清汤很棒。里头有什么？	羊肉和牛肉。等我们放蔬菜进去之后会味道更好！
晚上好。你们有预定吗？	不，我们没有。
你吃饱了吗？	是的，这餐食太棒了！
嗨，给我们两杯柳丁汁冻饮好吗？	你们要加优格吗？
嗯。酥脆爽口。而且草莓还保留了一部分没沾，方便你拿……	这些吃起来很好玩的。你可以先含在嘴里把糖衣吮掉……
带食物饮料进戏院是违反规定的。	真糟啊。反正我都已经带了。
我要去小卖部买些爆米花和可乐。	去吧。浪费你的钱吧。
嘿！真正的大厨就是如此全心投入，不拘小节。而且，我浑身沾满松饼粉时似乎挺美的…	你在做什么？
对。想起我妈在厨房里忙，而我在那里做作业……	真是甜蜜的家庭……你帮我弄些吐司，我就让你用我的复古造型烤面包机……
你真的在做我猜想你在做的食物吗？	正是无与伦比的,肉桂吐司。
你会喜欢的。这是女士饮料。	那是什么意思——酒精度很低吗？
我饿昏了！我们来吃点东西吧！	我想吃点脆片配辣酱。
噢！我的嘴要冒火了！	我觉得好爽。在冬夜里最适合来上一锅热热的麻辣锅了。
我们是在这里唱歌？这些包厢好舒服喔，要我在里面睡觉都可以！	我们来点东西吃。你想吃什么？
我肚子饿了吗？晚饭什么时候能准备好?	差不多好了。你能帮忙摆桌子吗？
早上好。	早上好。早餐你想吃什么？
你要去哪里吃午餐？	不知道。我没有胃口。
欢迎来到麦当劳。我能帮您点餐吗？	请给我这个超值套餐，一个红豆派和一份蔬菜沙拉。
晚餐准备好了吗？我饿了。	差不多准备好了。你能帮忙摆桌子吗？
这里是我最喜欢的地方。	你来过这里多少次了？
你们好！抱歉打扰下。这是本店送的免费水果拼盘。你们点的东西马上就来。	哇！是果雕！你们的主厨真是艺术家！
你在这里坐，我去拿食物。	要订什么？
你们有空位吗？	是的。这边请。
你要喝什么？	我要可乐。
女服务员。	是的，先生。我能帮您吗？
Ressie，你要什么？	我要一杯咖啡和一个苹果派。你呢？
我真的很感激你们做这么丰盛的饭菜。你们都经常吃这么好吗？	并不是这样。平时我们都忙于工作，所以没有多少时间烹饪出花样。
桌上这么多菜，我都不知道从哪里开始。	把你的盘子递给查克，蒂娜。他会把肉放在上面。他总是切火鸡。
先生，您订位子了吗？	是的，我订了六个人的位子。
您喜欢哪家餐馆？	我想尝尝墨西哥风味。
换换口味吃中餐怎么样？	太好了。我喜欢地道的中国菜。
今天的风味菜是什么？	糖醋排骨。
我们吃海鲜换换口味吧.牡蛎和龙虾怎么样？	我完全同意！
先生们，点什么菜？	我喜欢炖鸡肉。
你们有哪些中国菜？	正宗的广东菜。
我要牛排和一杯啤酒。	牛排嫩点儿、适中、还是老一点儿？
现在上菜吗？	不用，我习惯先喝茶。
晚饭很丰盛。	你最爱吃什么菜？
你喜欢什么汤，酸辣汤还是四宝汤？	吃什么都行，我对汤不太挑剔。
我是白玫瑰酒家，能帮您吗？	是的，我想预订今晚的座位，一个桌位，五个人
你想点菜吗？	是的，我要西红柿汤，给我朋友来蘑菇汤
饭前来杯茶怎么样？	好吧，谢谢。
先生想要些什么？	炒蛋、腌肉、三片面包、还有一杯茶。
要不要来点色拉？	要。今天给我们推荐什么？
我想要些早餐。	要什么呢？
我建议您来烤肉，先生。	好吧，请来烤肉。我想先来点汤。
今天的特色菜是什么？	我想我们的熏鱼会合你的口味。
可以送一杯可乐和一份色拉吗？	好的，你要用哪一种色拉佐料？
你能给我看看账单吗？	给您，一共一百二十元。
最后一道菜上来了！我帮你夹点怎么样？	如果你不介意我就不吃了，我喝点汤吧。我应该节食。
想不想再要点什么？	不用了，恐怕那道菜我们也不要了，因为搞不清合不合我们的胃口。
你要吃点蛋糕吗？我自己做的。	肯定要尝尝！真好吃。
晚安，三位，谢谢。	好的，请问您有订位吗？
今天什么好吃？	今天的鲑鱼很好，很新鲜。
我们是不是应该给点小费呀。这里的服务挺好的。	是呀，我想我们应该给。通常应该给多少。
晚上出去吃吧？我今天不想做饭。	提姆，你要跟我们一起吃饭吗？
可以点菜了吗，还是要等一会？	可以点餐了，请给我鸡汤。
还需要些什么吗？	不用了，请买单。
请问你要点儿什么？	一个汉堡和一份大薯条？
你们都有哪些菜？	如果你们喜欢吃鸡肉，我们这儿的鸡菜都不错
我饿死了。去吃点东西吧。	我们可以在附近吃吃就好了吗。我不想走太远。
午安，乔凡尼叔叔！	我何时成了你叔叔？那是啥玩意？
太好了。这些咖啡豆已经准备好了。现在进行第三步：让我们一起煮咖啡吧！	这么快？
农历年到了！代表现在是吃火锅的时节！	咱们来吃那种锅子里的汤一边辣，一边不辣的。
法洛先生的案子有什么新点子吗？我们要怎么给这种机油新的品牌特性？	让我喝喝早上的咖啡，好让大脑恢复运作吧。
我的拿铁看起来像上个月我们做广告的那种鞋油。	而这杯浓缩咖啡看起来像是……石油！
这个机油的案子还是很棘手。	对呀，再去喝点咖啡吧！
吧台，我要一杯法布奇诺。	真是女性化的饮料。我要买包蓝山和一杯低咖啡因的布雷瓦……
我看起来如何？我好喜欢这些辫子。它们好有趣！	看起来太棒了！嘿，你饿不饿？我知道一家好吃的埃塞俄比亚餐厅──玛斯克林餐厅。
晚安，杰克森小姐。在这遇见你真是太奇妙了。	嗨，克莱德。这是我的朋友，小雯。她从加州大学洛杉矶分校来找我。
好漂亮的饭店啊！感觉这里档次很高。	是的，就是有些贵，但是这里的海鲜是全城最好的。
晚餐吃什么？	剩饭。
您需要点什么？	我要一杯卡兹莫酒。
我饿了，我们点点东西吃吧。	好的，也许我们去街边的饭店点些汤和色拉。
好的，你现在准备好了如何做一块蛋糕了吗？	差不多，让我把我的围裙穿上。
你做了什么好吃的？	嗯，你知道的我上个月在泰国，我在那儿上了烹饪课！因此我准备了一些我喜欢的菜。
先生您好，欢迎来到Pistolera餐厅就餐，能告诉我需要点哪些食物吗？	好的。我想要一份有奶酪微辣的墨西哥鸡肉蔬菜卷，并且一边有鳄梨味的色拉酱。
我知道法洛先生为什么不喜欢我们广告的点子了！他根本完全不懂咖啡。	对，我老是看他喝即溶咖啡。
听着，我们不可能说服大家每天早上都需要新鲜机油的。	是不行，但你可以让他们知道，你的机油是最好的——是世上最纯的机油。当心，握住有咖啡隔热套的地方。这杯咖啡里加的是一半牛奶、一半鲜奶油——你觉得呢？
布鲁诺的小酒馆，我能为您做点什么？	是的，你好，我想预定晚餐。
那个我们要去的神秘的餐厅在哪儿？	那是个印度餐馆！我知道你没有吃过印度的食物，所以我想也许你会想尝试一下。
朱莉，要不要出去吃点东西？	好啊！你想吃什么？
大家好，欢迎来到Happy Buddah！想喝点什么饮料?	给我来杯可乐。
欢迎收看我们的节目，今天我向你们展示如何制作美味的三明治。你准备好了吗？我们开始吧。	我们从基本的开始, 面包。面包很重要。你需要记住一件事——根据下面的标准来选择面包，新鲜，面包屑和颜色。如果你想要个没有缝隙的三明治，我推荐你先在烤面包机或烤箱中烤面包，或轻烤面包制到面包有一层线褐色。
亲爱的，你能摆饭桌吗？	当然可以，晚餐我们吃什么？我需要摆些特别的东西吗？
女孩子都喜欢这些日本风格的发夹。	它们很可爱，最重要的是很便宜。
我饿了，我们简单吃点东西.	好的，我们回家做些三明治如何？
兄弟，我昨晚吃的炒青菜是最棒的。	我喜欢那种脆的一口就能吃掉的菜，上面盖满酱汁和耗油。枯萎的绿色配上新鲜的豆芽，再加上些洋葱，蒜和姜。现在快到吃午饭的时间了，我真想马上来一盘这样的炒菜。
妈妈，我来帮忙洗点东西？	你把洋葱削一下，然后洗洗， 再切碎。
我先把肉炸一下，你站在我旁边。	爸爸，你准备用什么样的调味品呢？
爸爸，你什么时候才能做完饭啊？	几分钟。
汤姆，我们到了饭馆了。	可以点菜了吗？
嗨，我饿死了。我能吃下一匹马。	希望它是一匹巧克力马。
雪莉阿姨，我听说这个节日的名字是元宵节。这个名字是怎么来的呢？	这个啊，农历的第一个月叫做元月，在中国古代人们把晚上叫做宵，而且你知道的，这个节目刚好是元月中间的那天。
亲爱的，买些披萨，薯条，热河和多买一些奶酪。	约翰，我们刚说过要吃健康的食物，我们新的健康的生活方式呢？你说的那些都是垃圾食品。
炸虾好脆耶！可我妈妈从来不这么煮虾。她老是说吃油炸的东西不利于健康。	那她是怎么煮虾的？
这也太贵了。10块小甜饼就 要那么多钱。	我发现楼上有意大利自助餐。 也许我们本该去那里的。
这茶真好闻。是什么茶呢？	这是一种特殊的绿茶，名叫龙井茶，来自浙江省。
亲爱的，应该用哪只手来拿叉子啊？	左手拿叉右手拿刀。只要记住强壮点的那只手拿刀就可以了。
爷爷，这个餐厅看起来好旧啊。它建成多少年了啊？	我不是很确定它是什么时候开张的。但我知道它比我还老呢。我小的时候，就经常来这里吃东西的。
我真的很感激你们做这么丰盛的饭菜。你们都经常吃这么好吗？	并不是这样。平时我们都忙于工作，所以没有多少时间烹饪出花样。
桌上这么多菜，我都不知道从哪里开始。	把你的盘子递给查克，蒂娜。他会把肉放在上面。他总是切火鸡。
我可以进来吗？	是的，请进。现在让我给你看看房子。
你们想找多少个房间？	噢，四或五。这间公寓的租金是多少？
你可以帮我吗？我正在找一间房子。	嗯，我有一间空房。
你好，我可以帮你吗？	是的，我们有兴趣看看要出租的房间。
你现在要回家吗？	不，我不是。
早上好。这个月18号、19号你们有一套小房子出租吗？	让我查查…一个房间还是两个房间？
迪克，我已经决定不租那个房子了。	但是昨天你说你会租的。
你们接纳学生房客吗？	是的。你若不嫌与人合住的话，现在就有一间。
我可以帮你吗？	是的，我在找一套房子？
早上好！我可以帮你吗？	是的。我和我的妻子这个夏天有兴趣租一套房子。
有个朋友告诉我也许在这儿能找到一间住房。	是的，下星期我有间房间可以腾出来。
听说你这儿或许有空房间出租。	是的，我有一间房空着。
不知你能否帮忙，我想找间住房。	可以。我有一小间住房。
我真的很感谢你开车带我绕一绕。	没关系的。我今天有时间，我也认为你能找到一个好地方住是很重要的。
我要另找一个地方住。	是吗？为什么？你不喜欢和我一起住吗？
今年春天开始找房子是不错的时机。	我们应该计划在七月前搬走。我已经厌倦住公寓了。
你好，我是玛丽·史密斯。	你好，我是房东约翰·泰勒。
你好，约翰。	哦，你好，玛丽，进来。有什么问题吗？
这地方不错，可你得弄些家具。	我住的地方可以搬一些过来，而且还有一些在我父母家里。
我被告知您有一件空房。	是的，我有一件空房。
我的房子下个月就到期了,我得找个新住处.	真替你难过.现在很难租到房子的.
您好。我打电话是来询问你们打广告的公寓。	是的。您对哪种公寓有兴趣？
我们搬开这个地方吧。这间公寓太小了。	我赞同。我去看一下报纸。
喂?我是约翰．史密斯。能请王先生听电话吗?	我就是王先生。
在这个区我找到一个好地方.三居室,厨房很大,屋顶很高,瓷砖装修的洗澡间,还有一个大客厅。	听起来不错,但是别忘了周围都是破旧肮脏的房舍
你好，能帮你吗？	是的，我们很想看看你要出租的房子。
亲爱的，要爬上五段楼梯呀！	没关系,我们会适应的.此外高处很安静,我们远离街道，听不到交通噪音，上边还没有人居住。
这间公寓很宽敞。含停车位四十坪。大约 是一千四百平方英尺。	哇。我们只有两个人。我不确定我们需要那么大的空间。
不过这间公寓不像有四十坪大。	嗯，四十坪还包括阳台在内。看。很大吧。
我到天堂了！惠而浦的干衣机！	我也很喜欢。我们去厨房吧。等看到冰箱，你会更兴奋。
哈啰，高先生。我们很感激你让我们承租这间公寓。	荣幸之至。你们这对夫妇人很好。有任何问题吗？
那样真方便。不过我们想知道你房租可不可以降一点。	我可以减个两千元。那样就是二万八千元。
所以你们准备在这住多久？	如果可以的话，我们想签一年的约.
所以这间公寓不附家具？	这间没有。我还有一间有附家具，不过我不确定你们会喜欢那些家具。
很抱歉这么早打扰你。有另一对夫妻想要租这间公寓，不过我觉得该先问你们.	你真是太好心了。我们当然想租。
一点也没错。而且我们的车位以四千元租出去了！太棒了！	来放点音乐吧！我想跳舞。
发生什么事了？	我的租期到期了，我必须搬出去。
雪莉阿姨，好多年没有见了。这些年您怎么样？	挺好的。你呢？
我真难以相信纽约市的房价。	噢，你难道不知道这里的公寓虽然很小、很挤，但还是很值钱吗？
你真是太好了，请我来做客。	刘先生，您能来我很高兴，请上坐。这是一次家常便饭，请大家别客气。刘先生，要吃点鸡肉吗？
妈，我刚完成我的报告。你可以在我交给老师前帮忙校对吗？	当然，我们一起看看吧。甜心，写得很好。你的想法很有创意。
你好！安娜，请进！	哇！你的公寓真乱。
我们从这里穿过去吧。	你开什么玩笑！我们穿过去会没命的！咱们还是到红绿灯口再过吧。
你买了“战争二代”没有?	买了!它发行的当天我就买了。
史密斯先生，你好。我是王朋。	你好，王先生，我是史密斯。
史蒂文，今晚和 我们一起去跳舞怎么样？	约翰，我现在没那个心情。
安娜，你穿那套衣服真好看。颜色和你裤子的颤色正好相配。	谢谢，卡拉。你过奖了。你穿衣服一直很有品味。
艾丽斯，我不知道你有这么好的嗓。你唱得真不赖，不是吗？	谢谢你，马克。我过去是学校合唱团的成员。
约翰，你面色苍白。怎么了？	我昨晚熬夜了。
史蒂文，为什么这么沮丧啊？	刚刚看了报纸，我觉得伤心。
你好，玛莉。天气真好，不是吗？	是啊，多美好的一天啊！天终于睛了。
早上好，保罗！	嗨，早上好，你今天这么早。
詹尼弗，你想和我共进晚餐吗？	好哇，不错。你想什么时候去呢？
嘿，史蒂文，你周末喜欢做什么？	我喜欢游泳和骑自行车，星期六早上我要花两个小时骑车在城里转一转，或沿着乡间小路骑车。
昨天你到哪里去了？	我到公园里去打网球。
明天你能参加我们的野餐活动吗？	太遗憾了，明天我要去机场接我的女友。
嘿，今晚出去喝两杯啤酒吧。	抱歉，我去不了。我得在实验室工作到很晚。
最近都没看到比尔。他怎么样？	他仍然病得很严重。
今天气温多少度？	大约5摄氏度。
听说约翰离婚了。	真的吗？但是他的妻子对他总是照顾得体贴入微。
你昨晚是看哪个频道？	二频道，播电视剧《还珠格格》
请别站在车门口，让车上乘客先下来。车上乘客不下车，你也没法上车。	要多少车钱？
这是我最喜欢的餐厅。	这个餐厅环境很好而且菜看起来也很好吃。
打扰了。你们有基因工程的书吗？我到处找，但是找不到。	我不确定我们现在是否有。那种书都在那个架子上。额，恐怕我们已经卖光了。
您好。这里是客服部。我能为您做什么？	您好。我在Spend-Wart买了你们生产的吸尘器。现在它坏了。
去哪里？	请送我到机场。
打扰了。我在找一本叫《小妇人》的书，但是我到处都找不到。	让我看看。很抱歉，我们刚刚卖完了。
你们有好的英汉词典吗？	当然有。这本怎么样？
丽莎，刚才那餐真丰盛。	你太客气了。
嘿,安,昨天晚上真的不好意思,我不应该说那些话的.	我也很不好意思.我们一直在说要去海滩度假,我当时就应该告诉鲍勃我这周末忙,已经有安排了.
我工作很辛苦以至于我没有精力去做运动。	这只是一个借口。你总能找到时间去做运动的。
嘿，《天才老爹》在演了！	《天才老爹》？它不是好多年以前就播完了？
您好。斯图尔特家。	您好。请问斯图尔特先生在吗？
让我们做点户外运动吧	好吧但我不想打网球。上周末刚打过
彼得，你多久做一次运动？	额，我每天都游泳、跑步。
玛丽，天色愈来愈晚了。	也许我该回家了。
对不起，在你的房间抽烟了。	别担心。我会打开窗户的。
晚上我们要一起出去吃饭,贝蒂,你一块儿去吗?	我不太确定,要先看一下我的安排.你们去哪儿吃饭?
你今天的晨跑如何？	非常好。我现在觉得神清气爽。你也应该什么时候和我一起去。锻炼对身体是很有益的！
我们还得做其它杂事吗？	我们还必须用吸尘器清理房子。
Martin你的购物旅程进行的怎么样？	其实这是我迄今为止度过的最有意思的一天。
走吧，玛丽。我们必须洗衣服了。	要去哪儿？
你觉得这个周末天气会好吗？	我听说会下雨。
今天是这对老夫妇的金婚纪念日。	那肯定是一个很长的爱情故事。
Tim的微笑很有趣。	是的，他的微笑既羞涩和又温柔，丹是有征服人的力量。
Peter怎么啦？他看起来很不高兴。	他的女朋友甩了她，他正为之心碎。
这个周末我想去试试高空跳伞。	如果我是你我不会去尝试。
比尔，你今天觉得好点了吗？	额，很难说。晚上我咳得很厉害。
我和我老板大吵一架了。我应该怎么办？	我认为你最好道歉。
看完排球干什么?	去逛逛奥运纪念品专卖店怎么样？我记得体育馆里有一家。
杰克，你怎么弄的乱七八糟。	爸爸，我在玩我的玩具。
安！你难道没看见这些孩子在这里有多吵吗？你为什么不让它们做点什么事情，别人他们在这里烦他们的母亲！	好的！带他们到外面去放风筝如何？
亲爱的，我们的儿子在哪里？	他在他的卧室里，放学后，他就一直心情不好。
关于如何教育孩子真让我大伤脑经。	出什么问题了？
今天早上，街上有一件严重的扰乱事件。	现在得以控制了吗？
请借些钱给我？	好的，你有急用吗？
我真不明白我的父母，他们总是轻视我的烦恼。	他们认为你只是个孩子。
你从窗户跳下去多傻呀！	可当我听到地震了的喊声时，那时我的第一个反映。
你在找什么呀？	我丢了一只隐形眼镜，我正到处在找。
杰克，咱们走。	哦，看你，上气不接下气！出什么事情呢？
我真不知道如何去教育儿子。他现在太目中无人了。	你应该送他去寄宿学校，他需要一个严厉点的老师。
你在干什么？	我想把这个花瓶放在架子上。
但是你该体贴孩子们，爱玩是他们的天性。	我受不了的是他们居然和我顶嘴。
请你帮帮忙好吗？我搬不动那个重箱子。	我恐怕帮不了你，你没看见我在查字典吗？
你能帮我搬下这些书吗？	我很忙，你没看到吗？
爸爸，能买个新相机给我么？我的旧的那个坏了。	什么？我三个月前才给你买的。
我们谈论这个已经很多次了。我们不会养宠物。	为什么不？养吧。只养一只可爱的小狗或小猫.
阿美，早上好。真是好孩子，又在读英语了！	早上好。没有理由错过这么美丽的早晨。那是只新鸟吗？
好了，本，都过去了。我还以为你只是有点奇怪。	我刚才可没有开玩笑，不过我现在已经好了。
事情这么多，时间都不够用。	我知道。你妈妈有再去确定预订的教堂吗？
我想我找到洋基队的马克杯了……	喔，太好了。在哪找到的？
嘿！跟你妈妈多拿些旧照片好吗？	不能缓一缓吗？她还在气我们用电子邮件寄喜帖的事。
昨晚你为什么不给我发信息？	什么？我给你发了三四条短信！
所以你妈不会再念你了。	相信我。她还是会继续念。她觉得会出差错。
当准新娘的感觉如何啊？	又累压力又大。这次的婚礼让我头好痛。
史帝，谢谢你照顾强尼。	我很乐意，罗宾森太太。
能借给我5美元吗？	不行！
先生，您好，需要点什么？	你好，我需要买套新衣服。下周我有个重要的采访，所以我得看起来很有型。
你在做什么？确定婚礼的待办事项吗？	是啊，还有好多事要做喔！
那你对网站还有想法吗？	既然我们只收礼物，不收礼金，我做了一个「宾客专属」聊天室。
早安，史太太！瞧妳又在倒立了。	嗨，凯晰！我只是在做晨间瑜珈！你今儿个起得还真早。
帮我理一下那些硬币。	这么多钱！你做什么了？把存钱罐打碎了吗？
帕克先生你好，最近好吗？	你好，彼得医生。我很好，谢谢。我和里基在这里等注射疫苗。
出什么事了？	我头疼。这些天我就靠止痛药为生了。哥们，我觉得我的头就要爆炸了。
这周末你做什么？	我姐夫要在他家开个聚会，并且他邀请了我。
你今天想和我一起去做面部按摩吗？	哥们，你在说什么呢？那是女孩子做的事。
嘿，你给专业杀虫的人打电话了？	是的，谢天谢地，你终于来了。这些虫子都把我们逼疯了。
Stephanie!你去上学了吗？今天早晨我离开寝室时，你已经起床并四处活动。那是大约一个半小时的事。总是这样。早晨为什么你要花很长的时间来准备吗？	那是种技巧。我能说什么？我不知道原因。我只是做些日常的事。
谢谢你们为我组织这个很棒的婴儿送礼会。我一直参加别人的婴儿送礼会，但从未为我组织过。现在我们就开始吧.	我们来打开礼物吧。
你今晚想看电影吗？	我不想，我要去健身房。
我决定要种个属于自己的园子。	什么？你对园艺一无所知。
这些就是今天的新闻摘要，现在一起来看Mike Sanderson主持的国际天气预报。	谢谢你，鲍伯。过去的一周成为大决战的开始，全球各地发生了一系列的极端气象现象。在瑞典，阿尔卑斯山脉发生了一次雪崩。幸运的是，没人受伤。受这个冬天极寒的影响，一场暴风雪袭击了美国中西部，导致学校和大学的一些课程被迫取消。
亲爱的，今天过得如何？	还行。我碰见比尔了，我们说了会儿话。他现在有些困难。
亲爱的，宝贝又醒了.	轮到你照看婴儿了。我昨晚已经照看婴儿了。
妈妈，拜托帮我拿一下碗，我抓不住了。	宝贝，小心点。
你可以送我到银行吗？	当然可以，女士。请告诉我怎么走。
小姐，你想去哪里？	你能送我到机场吗？
打扰了。下趟公车什么时候来？	4分钟之后，下趟公车就会到这里。
打扰了，去洛杉矶的下一趟列车是什么时候？	早上10点15分。
计程车！计程车！	先生，去哪里？
请问一下，我有一点迷路了，到师大该搭几路公车？	让我看看。从这里你必须要搭 278。
我可以帮你吗？	是的。去纽约的下一趟列车是什么时候？
我们合租一辆计程车好吗？	你现在要去哪里？
怎么啦？	我要搭哪趟地铁才能去东区。
你好，打扰了。你知道这附近有家商业银行吗？	是的，沿着北京路直走，然后右转。
嗨，等车呢？你去哪？	中国饭店。
